,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
218,0.296,0.0,0.891,0.109,CNN,"Here's CNN's weekly roundup of the news, notes and chatter about the prospects for the next Democratic presidential… https://t.co/jhP4I1C2En",19
219,0.0,0.0,1.0,0.0,CNN,Impact of Attorney General Jeff Sessions' asylum move already felt at border https://t.co/5AKQyaPG98 https://t.co/FJeN4bNPub,20
220,0.0,0.0,1.0,0.0,CNN,This video game could generate a new type of World Cup next year https://t.co/gji26lhVZa https://t.co/Bhcrmb81I8,21
221,-0.4588,0.167,0.762,0.071,CNN,"Jaguar escapes enclosure at Audubon Zoo in New Orleans and kills 4 alpacas, an emu and a fox https://t.co/JTwcwexRLj https://t.co/UNZ75WSIgz",22
222,0.0,0.0,1.0,0.0,CNN,"In Europe, First Lady Melania Trump is the Trump sticking to the script https://t.co/odZGVA2sfq https://t.co/0ZtVvImGrw",23
223,-0.5106,0.258,0.633,0.109,CNN,A senior National Security Council official who argued for increasing US refugee admissions and feuded with senior… https://t.co/oELKfzIiK5,24
224,-0.3252,0.127,0.873,0.0,CNN,The British public doesn't appear amused with President Trump walking in front of Queen Elizabeth II… https://t.co/9g5x8lMe0q,25
225,-0.296,0.167,0.833,0.0,CNN,Here's what you might have missed during a busy news week https://t.co/rv1W25n2Iw https://t.co/MXMHXycOXl,26
226,-0.5719,0.17,0.769,0.061,CNN,Philando Castile was fatally shot by police in Minnesota in 2016 — then came the Russian trolls. An exclusive CNN i… https://t.co/snbZHI833T,27
227,-0.34,0.211,0.789,0.0,CNN,Israelis and Palestinians exchange fire along Gaza border https://t.co/YFUZAkkv5i https://t.co/dAFsl7lqaU,28
228,0.6553,0.0,0.789,0.211,CNN,Is it dark? And are you wearing sunglasses? You’re ready for the return of the CNN series #History of Comedy. Hear… https://t.co/spOWGQNvT1,29
229,0.4215,0.0,0.877,0.123,CNN,"The Thai boys rescued from a cave after nearly three weeks are ""sitting up in their beds"" and ""sending thank-you me… https://t.co/m00GEVO4Nr",30
